기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20260503000000,77061.3,52683.2,57400.0,24378.0,46.2728,10967.9,20.3401
20260503000500,77060.6,52518.1,57400.0,24542.5,46.7314,10941.6,20.3544
20260503001000,77080.6,52266.5,57400.0,24814.1,47.4761,11085.9,20.7179
20260503001500,77040.6,51755.9,57400.0,25284.7,48.8539,11253.0,21.2334
20260503002000,77043.1,51713.2,57400.0,25330.0,48.9816,11206.3,21.164
20260503002500,77054.2,51559.5,57400.0,25494.8,49.4473,11403.7,21.5998
20260503003000,77004.8,51227.9,57400.0,25776.8,50.3179,11937.6,22.7536
20260503003500,77005.4,51077.5,57400.0,25927.9,50.7619,11979.1,22.8947
20260503004000,76998.9,51214.4,57400.0,25784.5,50.3461,11466.2,21.8597
20260503004500,76971.4,50849.6,57400.0,26121.8,51.3708,11768.8,22.5932
20260503005000,76966.3,50652.8,57400.0,26313.5,51.9488,11746.6,22.6349
20260503005500,76965.9,50211.7,57400.0,26754.2,53.2829,11523.7,22.3861
20260503010000,76955.0,50191.3,57400.0,26763.8,53.3236,11535.7,22.4185
20260503010500,76975.9,49951.4,57400.0,27024.5,54.1017,11809.8,23.0587
20260503011000,76982.9,49897.9,57400.0,27085.0,54.2809,11834.2,23.1311
20260503011500,76977.1,49877.8,57400.0,27099.3,54.3314,11571.4,22.6262
20260503012000,77005.1,49511.7,57400.0,27493.4,55.5292,11579.7,22.8065
20260503012500,77015.9,49422.3,57400.0,27593.6,55.8322,11287.7,22.2704
20260503013000,77033.7,49623.6,57400.0,27410.1,55.236,10738.0,21.1008
20260503013500,77041.9,49565.9,57400.0,27476.0,55.4331,10204.8,20.0758
20260503014000,76978.7,49334.0,57400.0,27644.7,56.0357,10280.9,20.3199
20260503014500,76997.3,49017.3,57400.0,27980.1,57.0821,10291.1,20.4623
20260503015000,76976.8,48637.9,57400.0,28338.9,58.265,11049.0,22.1425
20260503015500,76976.0,48797.1,57400.0,28178.9,57.7471,11022.5,22.0194
20260503020000,77011.6,48604.4,57400.0,28407.3,58.446,11184.7,22.4398
20260503020500,76916.7,48730.2,57400.0,28186.5,57.8418,11007.3,22.0282
20260503021000,77967.5,48521.6,57400.0,29445.9,60.6862,11144.0,22.3979
20260503021500,77967.3,48323.6,57400.0,29643.6,61.3439,11383.3,22.9707
20260503022000,77965.8,48304.4,57400.0,29661.4,61.4052,11189.0,22.5537
20260503022500,77950.7,48357.5,57400.0,29593.1,61.1965,11121.0,22.3213
20260503023000,78063.4,48066.6,57400.0,29996.8,62.4068,11161.0,22.4195
20260503023500,79748.7,47934.0,57400.0,31814.7,66.3718,11152.1,22.4258
20260503024000,79754.9,47922.7,57400.0,31832.2,66.424,10979.3,21.9587
20260503024500,79808.8,48132.7,57400.0,31676.1,65.81,10812.9,21.5348
20260503025000,79847.2,47679.3,57400.0,32167.9,67.4671,11139.0,22.375
20260503025500,79870.9,47901.9,57400.0,31969.1,66.7387,10856.7,21.7207
20260503030000,79872.3,47891.4,57400.0,31980.9,66.778,10775.6,21.537
20260503030500,79918.0,47717.3,57400.0,32200.7,67.4823,10703.0,21.4627
20260503031000,79939.8,47719.2,57400.0,32220.6,67.5212,10665.8,21.3891
20260503031500,79962.2,47622.2,57400.0,32340.0,67.9096,10740.2,21.5757
20260503032000,79957.7,47840.5,57400.0,32117.2,67.1338,10539.4,21.082
20260503032500,79944.2,47889.4,57400.0,32054.8,66.9351,10413.0,20.8107
20260503033000,79948.2,47611.4,57400.0,32336.8,67.9181,10608.5,21.3073
20260503033500,79946.0,47387.5,57400.0,32558.5,68.7069,10841.7,21.8766
20260503034000,79964.9,47635.7,57400.0,32329.2,67.8677,10605.7,21.3012
20260503034500,79981.9,47541.0,57400.0,32441.0,68.2379,10743.3,21.6084
20260503035000,80006.9,47639.2,57400.0,32367.8,67.9436,10665.6,21.4146
20260503035500,79992.3,47768.5,57400.0,32223.8,67.4582,10540.3,21.1081
20260503040000,79982.1,47583.9,57400.0,32398.2,68.0864,10689.9,21.4892
20260503040500,80005.3,47550.2,57400.0,32455.1,68.2545,10747.3,21.6195
20260503041000,79984.7,47553.6,57400.0,32431.1,68.1991,10747.6,21.6196
20260503041500,79994.0,47561.9,57400.0,32432.1,68.1893,10767.3,21.6554
20260503042000,79977.8,47528.0,57400.0,32449.8,68.2752,10777.4,21.692
20260503042500,79962.2,47453.4,57400.0,32508.9,68.507,10799.6,21.8491
20260503043000,79961.0,47707.5,57400.0,32253.5,67.6068,10782.6,21.7218
20260503043500,79970.0,47783.6,57400.0,32186.3,67.3585,10713.5,21.5494
20260503044000,79974.4,47935.7,57400.0,32038.7,66.8368,10631.3,21.3216
20260503044500,79975.0,48029.5,57400.0,31945.5,66.5121,10525.2,21.2206
20260503045000,79957.2,47882.2,57400.0,32075.1,66.9875,10687.5,21.6109
20260503045500,79952.6,47745.6,57400.0,32207.0,67.4554,10821.4,21.9519
20260503050000,79974.7,47920.7,57400.0,32054.0,66.8898,10648.1,21.5158
20260503050500,80031.9,48108.4,57400.0,31923.6,66.3577,10650.0,21.4389
20260503051000,80044.7,48145.0,57400.0,31899.7,66.2575,10419.2,20.9566
20260503051500,80027.1,47788.7,57400.0,32238.5,67.4604,10844.5,21.9648
20260503052000,80041.5,48044.7,57400.0,31996.7,66.5978,10716.6,21.5987
20260503052500,80036.6,47964.1,57400.0,32072.5,66.8678,11114.4,22.4367
20260503053000,79993.1,48063.8,57400.0,31929.3,66.431,10999.0,22.1614
20260503053500,79989.1,48026.9,57400.0,31962.2,66.5506,11121.6,22.4247
20260503054000,79968.2,47973.1,57400.0,31995.1,66.6937,11214.7,22.6368
20260503054500,79965.2,48053.7,57400.0,31911.5,66.408,11212.8,22.5954
20260503055000,79960.5,48611.8,57400.0,31348.8,64.4881,10808.7,21.537
20260503055500,79958.6,48559.6,57400.0,31399.0,64.6607,10849.2,21.7529
20260503060000,79965.6,48497.6,57400.0,31468.0,64.8858,11187.6,22.4595
20260503060500,79988.7,48596.6,57400.0,31392.1,64.5974,11202.3,22.4442
20260503061000,79993.2,48989.4,57400.0,31003.8,63.2869,10769.4,21.409
20260503061500,79973.9,49218.0,57400.0,30755.9,62.4893,10591.1,20.9597
20260503062000,79550.5,49030.8,57400.0,30519.8,62.2461,10750.2,21.3529
20260503062500,79549.8,49299.1,57400.0,30250.8,61.3617,10887.9,21.5125
